id,date,season_id,year,month,is_holiday,weekday,is_workingday,weather_condition,temperature,feels_like_temp,humidity,wind_speed,total_users
27,2018-01-27,1,0,1,0,4,1,1,7.995,10.985,68.75,7.627079,431
28,2018-01-28,1,0,1,0,5,1,2,8.342598,11.16585,79.3043,8.2611,1167
29,2018-01-29,1,0,1,0,6,0,1,8.057402,10.6063,65.1739,9.739455,1098
30,2018-01-30,1,0,1,0,0,0,1,8.877402,12.5161,72.2174,4.9568342,1096
31,2018-01-31,1,0,1,0,1,1,2,7.414153,9.3125,60.375,12.541864,1501
32,2018-02-01,1,0,2,0,2,1,2,7.879134,11.7265,82.9565,3.565271,1360
33,2018-02-02,1,0,2,0,3,1,2,10.66,12.72085,77.5417,17.708636,1526
34,2018-02-03,1,0,2,0,4,1,1,7.665237,8.8939,43.7826,18.609384,1550
35,2018-02-04,1,0,2,0,5,1,2,8.663464,11.42935,58.5217,8.565213,1708
36,2018-02-05,1,0,2,0,6,0,2,9.566653,12.1529,92.9167,10.792293,1005
37,2018-02-06,1,0,2,0,0,0,1,11.719153,14.58355,56.8333,9.5006,1623
38,2018-02-07,1,0,2,0,1,1,1,11.138347,15.1829,73.8333,3.0423561,1712
39,2018-02-08,1,0,2,0,2,1,1,9.054153,9.9123,53.7917,24.25065,1530
40,2018-02-09,1,0,2,0,3,1,2,5.526103,7.21415,49.4783,12.652213,1605
41,2018-02-10,1,0,2,0,4,1,1,5.918268,7.4774,43.7391,14.869645,1538
42,2018-02-11,1,0,2,0,5,1,1,7.752731,10.67545,50.6364,7.27285,1746
43,2018-02-12,1,0,2,0,6,0,1,9.1225,11.6477,54.4167,13.625589,1472
44,2018-02-13,1,0,2,0,0,0,1,12.977402,16.20565,45.7391,17.479161,1589
45,2018-02-14,1,0,2,0,1,1,1,17.015,19.9175,37.5833,27.999836,1913
46,2018-02-15,1,0,2,0,2,1,1,10.909567,12.7137,31.4348,19.522058,1815
47,2018-02-16,1,0,2,0,3,1,1,13.048701,15.81,42.3478,16.869997,2115
48,2018-02-17,1,0,2,0,4,1,1,17.869153,21.4329,50.5,15.416968,2475
49,2018-02-18,1,0,2,0,5,1,1,21.388347,25.59915,51.6667,17.749975,2927
50,2018-02-19,1,0,2,0,6,0,1,16.365847,19.5702,18.7917,34.000021,1635
51,2018-02-20,1,0,2,0,0,0,1,11.693897,13.8665,40.7826,14.956745,1812
52,2018-02-21,1,0,2,1,1,0,2,12.436653,14.20375,60.5,20.625682,1107
53,2018-02-22,1,0,2,0,2,1,1,7.471102,9.30165,57.7778,13.110761,1450
54,2018-02-23,1,0,2,0,3,1,1,9.091299,12.28585,42.3043,6.305571,1917
55,2018-02-24,1,0,2,0,4,1,2,12.121732,14.45955,69.7391,16.783232,1807
56,2018-02-25,1,0,2,0,5,1,2,14.938268,17.52305,71.2174,23.218113,1461
57,2018-02-26,1,0,2,0,6,0,1,11.5825,14.1096,53.7917,12.500257,1969
58,2018-02-27,1,0,2,0,0,0,1,14.082598,17.55545,68.0,8.391616,2402
59,2018-02-28,1,0,2,0,1,1,2,16.698193,20.0059,87.6364,19.408962,1446
60,2018-03-01,1,0,3,0,2,1,1,10.933347,13.19395,53.5,14.500475,1851
61,2018-03-02,1,0,3,0,3,1,1,13.735,16.00355,44.9583,20.624811,2134
62,2018-03-03,1,0,3,0,4,1,1,8.131653,10.00665,31.8333,15.125518,1685
63,2018-03-04,1,0,3,0,5,1,2,10.728347,12.78395,61.0417,13.624182,1944
64,2018-03-05,1,0,3,0,6,0,2,15.750847,18.93895,78.9167,16.875357,2077
65,2018-03-06,1,0,3,0,0,0,2,15.437402,18.3126,94.8261,23.000229,605
66,2018-03-07,1,0,3,0,1,1,1,10.731299,11.92305,55.1304,22.870584,1872
67,2018-03-08,1,0,3,0,2,1,1,11.9925,15.12,42.0833,8.08355,2133
68,2018-03-09,1,0,3,0,3,1,2,12.129153,14.3304,77.5417,14.75005,1891
69,2018-03-10,1,0,3,0,4,1,3,15.952731,19.2834,0.0,17.545759,623
70,2018-03-11,1,0,3,0,5,1,2,12.977402,15.25,64.9565,15.60899,1977
71,2018-03-12,1,0,3,0,6,0,1,13.495847,16.2875,59.4583,14.791925,2132
72,2018-03-13,1,0,3,0,0,0,1,15.758268,19.00455,52.7391,18.130468,2417
73,2018-03-14,1,0,3,0,1,1,1,13.333897,16.6,49.6957,9.174042,2046
74,2018-03-15,1,0,3,0,2,1,2,13.013031,15.9089,65.5652,12.348703,2056
75,2018-03-16,1,0,3,0,3,1,2,14.973897,18.3465,77.6522,13.608839,2192
76,2018-03-17,1,0,3,0,4,1,1,17.015,20.51665,60.2917,14.041793,2744
77,2018-03-18,1,0,3,0,5,1,1,22.14,26.35045,52.5217,15.478139,3239
78,2018-03-19,1,0,3,0,6,0,1,19.3725,23.32625,37.9167,24.667189,3117
79,2018-03-20,1,0,3,0,0,0,1,13.6325,16.2875,47.375,13.917307,2471
80,2018-03-21,2,0,3,0,1,1,2,17.647835,20.48675,73.7391,19.348461,2077
81,2018-03-22,2,0,3,0,2,1,1,18.108347,22.0321,62.4583,15.12525,2703
82,2018-03-23,2,0,3,0,3,1,2,14.225237,16.89695,83.9565,15.695487,2121
83,2018-03-24,2,0,3,0,4,1,2,11.685,13.54165,80.5833,16.333729,1865
84,2018-03-25,2,0,3,0,5,1,1,10.830847,12.8156,49.5,15.458575,2210
85,2018-03-26,2,0,3,0,6,0,1,10.899153,12.87855,39.4167,14.041257,2496
86,2018-03-27,2,0,3,0,0,0,2,10.374763,12.51695,49.3913,12.3481,1693
87,2018-03-28,2,0,3,0,1,1,1,10.838268,12.8787,30.2174,14.217668,2028
88,2018-03-29,2,0,3,0,2,1,1,12.4025,14.6454,31.4167,15.208732,2425
89,2018-03-30,2,0,3,0,3,1,2,12.3,14.8675,64.6667,11.583496,1536
90,2018-03-31,2,0,3,0,4,1,3,11.001653,12.87875,91.8333,14.582282,1685
91,2018-04-01,2,0,4,0,5,1,2,12.3,14.1727,68.625,17.333436,2227
92,2018-04-02,2,0,4,0,6,0,2,12.915,15.78185,65.375,13.208782,2252
93,2018-04-03,2,0,4,0,0,0,1,15.511653,18.93835,48.0,12.208271,3249
94,2018-04-04,2,0,4,0,1,1,1,23.506653,27.14645,42.625,25.833257,3115
95,2018-04-05,2,0,4,0,2,1,2,16.980847,19.9175,64.2083,26.000489,1795
96,2018-04-06,2,0,4,0,3,1,1,16.024153,19.3804,47.0833,17.625221,2808
97,2018-04-07,2,0,4,0,4,1,1,17.9375,21.6848,60.2917,10.874904,3141
98,2018-04-08,2,0,4,0,5,1,2,13.769153,16.22395,83.625,15.208464,1471
99,2018-04-09,2,0,4,0,6,0,2,14.0425,17.07645,87.75,8.916561,2455
100,2018-04-10,2,0,4,0,0,0,2,17.493347,21.33685,85.75,9.833389,2895
101,2018-04-11,2,0,4,0,1,1,2,24.421732,28.26085,71.6956,21.739758,3348
102,2018-04-12,2,0,4,0,2,1,2,20.6025,24.6527,73.9167,18.416893,2034
103,2018-04-13,2,0,4,0,3,1,2,16.9125,20.86415,81.9167,16.791339,2162
104,2018-04-14,2,0,4,0,4,1,1,19.1675,23.1371,54.0417,7.4169,3267
105,2018-04-15,2,0,4,1,5,0,1,18.313347,22.09565,67.125,15.167125,3126
106,2018-04-16,2,0,4,0,6,0,3,17.664153,21.2746,88.8333,22.834136,795
107,2018-04-17,2,0,4,0,0,0,1,18.723347,22.2848,47.9583,20.334232,3744
108,2018-04-18,2,0,4,0,1,1,1,21.0125,25.1573,54.25,10.958989,3429
109,2018-04-19,2,0,4,0,2,1,2,20.739153,24.4629,66.5833,10.584057,3204
110,2018-04-20,2,0,4,0,3,1,1,24.395,28.2196,61.4167,16.208975,3944
111,2018-04-21,2,0,4,0,4,1,1,18.825847,22.6946,40.7083,21.792286,4189
112,2018-04-22,2,0,4,0,5,1,2,13.803347,16.0977,72.9583,14.707907,1683
113,2018-04-23,2,0,4,0,6,0,2,18.86,22.50605,88.7917,15.458575,4036
114,2018-04-24,2,0,4,0,0,0,2,23.848347,27.58815,81.0833,12.875725,4191
115,2018-04-25,2,0,4,0,1,1,1,24.873347,28.725,77.6667,12.417311,4073
116,2018-04-26,2,0,4,0,2,1,1,25.898347,29.70415,72.9167,21.8755,4400
117,2018-04-27,2,0,4,0,3,1,2,25.42,28.7571,83.5417,20.9174,3872
118,2018-04-28,2,0,4,0,4,1,2,25.3175,28.94645,70.0833,21.500836,4058
119,2018-04-29,2,0,4,0,5,1,1,20.91,24.87315,45.7083,16.084221,4595
120,2018-04-30,2,0,4,0,6,0,1,19.3725,23.20105,50.3333,15.750025,5312
121,2018-05-01,2,0,5,0,0,0,2,18.518347,22.4102,76.2083,7.125718,3351
122,2018-05-02,2,0,5,0,1,1,2,22.515847,26.64165,73.0,12.291418,4401
123,2018-05-03,2,0,5,0,2,1,2,25.283347,29.10395,69.7083,22.958689,4451
124,2018-05-04,2,0,5,0,3,1,2,16.980847,20.2325,73.7083,22.042732,2633
125,2018-05-05,2,0,5,0,4,1,1,18.825847,22.09585,44.4167,19.791264,4433
126,2018-05-06,2,0,5,0,5,1,1,19.645847,23.70585,59.0,15.292482,4608
127,2018-05-07,2,0,5,0,6,0,1,21.32,25.63105,54.125,10.75015,4714
128,2018-05-08,2,0,5,0,0,0,1,21.661653,25.94665,63.1667,5.0007125,4333
129,2018-05-09,2,0,5,0,1,1,1,21.8325,26.2623,58.875,11.792,4362
130,2018-05-10,2,0,5,0,2,1,1,21.8325,26.13605,48.9167,7.749957,4803
131,2018-05-11,2,0,5,0,3,1,1,22.2425,26.42,63.2917,8.083014,4182
132,2018-05-12,2,0,5,0,4,1,1,21.935,26.16815,74.75,12.707689,4864
133,2018-05-13,2,0,5,0,5,1,2,21.0125,24.715,86.3333,12.041575,4105
134,2018-05-14,2,0,5,0,6,0,2,21.354153,25.03145,92.25,9.04165,3409
135,2018-05-15,2,0,5,0,0,0,2,23.0625,26.8,86.7083,10.249593,4553
136,2018-05-16,2,0,5,0,1,1,1,23.6775,27.5256,78.7917,8.500357,3958
137,2018-05-17,2,0,5,0,2,1,2,23.028347,26.92645,83.7917,18.582718,4123
138,2018-05-18,2,0,5,0,3,1,2,22.55,26.3579,87.0,13.499964,3855
139,2018-05-19,2,0,5,0,4,1,2,21.764153,25.5371,82.9583,7.250271,4575
140,2018-05-20,2,0,5,0,5,1,1,22.003347,26.4521,71.9583,8.375871,4917
141,2018-05-21,2,0,5,0,6,0,1,24.7025,28.59875,62.6667,8.08355,5805
142,2018-05-22,2,0,5,0,0,0,1,24.770847,28.725,74.9583,9.916536,4660
143,2018-05-23,2,0,5,0,1,1,2,25.898347,29.5148,81.0,15.667414,4274
144,2018-05-24,2,0,5,0,2,1,2,27.06,30.24065,74.0833,13.875164,4492
145,2018-05-25,2,0,5,0,3,1,1,27.094153,30.7771,69.625,10.333611,4978
146,2018-05-26,2,0,5,0,4,1,1,29.041653,32.7344,67.75,13.376014,4677
147,2018-05-27,2,0,5,0,5,1,1,27.948347,31.8504,65.375,16.125493,4679
148,2018-05-28,2,0,5,0,6,0,1,26.889153,30.61895,72.9583,15.416164,4758
149,2018-05-29,2,0,5,0,0,0,1,27.3675,30.7775,81.875,14.333846,4788
150,2018-05-30,2,0,5,1,1,0,1,30.066653,33.5546,68.5,8.792075,4098
151,2018-05-31,2,0,5,0,2,1,1,31.775,36.26915,63.6667,7.459043,3982
152,2018-06-01,2,0,6,0,3,1,2,31.330847,36.04835,67.7083,13.875164,3974
153,2018-06-02,2,0,6,0,4,1,1,29.315,32.1971,30.5,19.583229,4968
154,2018-06-03,2,0,6,0,5,1,1,25.42,29.35665,35.4167,16.959107,5312
155,2018-06-04,2,0,6,0,6,0,1,26.035,29.7348,45.625,8.250514,5342
156,2018-06-05,2,0,6,0,0,0,2,26.581653,30.8402,65.25,9.292364,4906
157,2018-06-06,2,0,6,0,1,1,1,27.811653,31.0929,60.0,8.167032,4548
158,2018-06-07,2,0,6,0,2,1,1,29.0075,32.7975,59.7917,12.583136,4833
159,2018-06-08,2,0,6,0,3,1,1,31.809153,36.36395,62.2083,9.166739,4401
160,2018-06-09,2,0,6,0,4,1,2,33.141653,37.87895,56.8333,10.042161,3915
161,2018-06-10,2,0,6,0,5,1,1,30.955,35.1646,60.5,9.417118,4586
162,2018-06-11,2,0,6,0,6,0,1,29.725,33.9019,65.4583,10.37495,4966
163,2018-06-12,2,0,6,0,0,0,1,28.3925,32.16625,74.7917,10.958989,4460
164,2018-06-13,2,0,6,0,1,1,1,26.035,30.0827,49.4583,20.45845,5020
165,2018-06-14,2,0,6,0,2,1,1,24.770847,29.5773,50.7083,18.041961,4891
166,2018-06-15,2,0,6,0,3,1,1,25.693347,29.3877,47.1667,11.250104,5180
167,2018-06-16,2,0,6,0,4,1,2,25.761653,29.7673,68.8333,13.833557,3767
168,2018-06-17,2,0,6,0,5,1,1,26.615847,30.01915,73.5833,9.582943,4844
169,2018-06-18,2,0,6,0,6,0,1,28.563347,32.1977,67.0417,8.000336,5119
170,2018-06-19,2,0,6,0,0,0,2,28.665847,32.2923,66.6667,6.834,4744
171,2018-06-20,2,0,6,0,1,1,2,26.035,29.7673,74.625,10.416825,4010
172,2018-06-21,3,0,6,0,2,1,2,27.914153,31.8823,77.0417,11.458675,4835
173,2018-06-22,3,0,6,0,3,1,1,30.066653,34.69145,70.75,11.541554,4507
174,2018-06-23,3,0,6,0,4,1,2,29.861653,34.69165,70.3333,15.999868,4790
175,2018-06-24,3,0,6,0,5,1,1,29.690847,32.82915,57.3333,14.875675,4991
176,2018-06-25,3,0,6,0,6,0,1,28.495,32.16565,48.3333,14.041257,5202
177,2018-06-26,3,0,6,0,0,0,1,27.88,31.88145,51.3333,6.3337311,5305
178,2018-06-27,3,0,6,0,1,1,2,27.9825,31.8502,65.8333,7.208396,4708
179,2018-06-28,3,0,6,0,2,1,1,30.510847,34.6279,63.4167,9.666961,4648
180,2018-06-29,3,0,6,0,3,1,1,29.861653,32.7344,49.7917,17.542007,5225
181,2018-06-30,3,0,6,0,4,1,1,28.563347,31.8504,43.4167,12.415904,5515
182,2018-07-01,3,0,7,0,5,1,1,29.6225,32.6081,39.625,6.874736,5362
183,2018-07-02,3,0,7,0,6,0,1,30.271653,33.3654,44.4583,7.709154,5119
184,2018-07-03,3,0,7,0,0,0,2,29.383347,33.42875,68.25,15.333486,4649
185,2018-07-04,3,0,7,1,1,0,2,29.793347,33.27085,63.7917,5.4591064,6043
186,2018-07-05,3,0,7,0,2,1,1,30.613347,34.8169,59.0417,8.459286,4665
187,2018-07-06,3,0,7,0,3,1,1,29.52,34.28165,74.3333,10.042161,4629
188,2018-07-07,3,0,7,0,4,1,1,30.75,34.34355,65.125,10.6664,4592
189,2018-07-08,3,0,7,0,5,1,2,29.075847,33.52415,75.7917,15.083643,4040
190,2018-07-09,3,0,7,0,6,0,1,30.066653,33.2079,60.9167,11.250104,5336
191,2018-07-10,3,0,7,0,0,0,1,30.6475,34.50125,57.8333,12.292557,4881
192,2018-07-11,3,0,7,0,1,1,1,31.2625,36.4902,63.5833,18.916579,4086
193,2018-07-12,3,0,7,0,2,1,1,32.560847,36.96375,55.9167,13.417018,4258
194,2018-07-13,3,0,7,0,3,1,1,30.613347,34.4702,63.1667,9.790911,4342
195,2018-07-14,3,0,7,0,4,1,1,27.914153,31.7552,47.625,16.124689,5084
196,2018-07-15,3,0,7,0,5,1,1,27.196653,31.21855,59.125,12.249811,5538
197,2018-07-16,3,0,7,0,6,0,1,28.153347,31.91315,58.5,13.958914,5923
198,2018-07-17,3,0,7,0,0,0,1,29.485847,33.49165,60.4167,16.417211,5302
199,2018-07-18,3,0,7,0,1,1,1,30.613347,35.19625,65.125,14.458868,4458
200,2018-07-19,3,0,7,0,2,1,1,31.843347,37.37395,65.0417,8.7502,4541
201,2018-07-20,3,0,7,0,3,1,1,31.501653,37.3425,70.7083,7.625739,4332
202,2018-07-21,3,0,7,0,4,1,2,33.415,41.31855,69.125,14.875407,3784
203,2018-07-22,3,0,7,0,5,1,1,34.781653,42.0448,58.0417,8.9177,3387
204,2018-07-23,3,0,7,0,6,0,1,34.815847,40.21435,50.0,8.791807,3285
205,2018-07-24,3,0,7,0,0,0,1,34.03,39.74145,55.0833,11.334457,3606
206,2018-07-25,3,0,7,0,1,1,1,30.476653,36.0479,75.7083,6.0841561,3840
207,2018-07-26,3,0,7,0,2,1,1,31.638347,34.84895,54.0833,13.417286,4590
208,2018-07-27,3,0,7,0,3,1,1,31.775,34.53335,40.2917,12.292021,4656
209,2018-07-28,3,0,7,0,4,1,1,31.945847,36.995,58.3333,11.958093,4390
210,2018-07-29,3,0,7,0,5,1,1,34.371653,39.29835,54.25,11.667246,3846
211,2018-07-30,3,0,7,0,6,0,1,32.970847,36.42685,46.5833,11.291979,4475
212,2018-07-31,3,0,7,0,0,0,1,33.039153,36.4898,48.0833,11.042471,4302
213,2018-08-01,3,0,8,0,1,1,1,31.638347,35.1646,55.0833,10.500039,4266
214,2018-08-02,3,0,8,0,2,1,1,32.116653,35.35355,49.125,13.79195,4845
215,2018-08-03,3,0,8,0,3,1,2,29.998347,33.99685,65.75,9.084061,3574
216,2018-08-04,3,0,8,0,4,1,2,29.11,33.2394,75.75,13.20905,4576
217,2018-08-05,3,0,8,0,5,1,1,29.144153,32.82835,63.0833,12.374632,4866
218,2018-08-06,3,0,8,0,6,0,2,29.383347,33.8077,75.5,15.29275,4294
219,2018-08-07,3,0,8,0,0,0,1,30.4425,35.7646,75.2917,13.499629,3785
220,2018-08-08,3,0,8,0,1,1,1,31.365,35.16415,59.2083,12.875725,4326
221,2018-08-09,3,0,8,0,2,1,1,31.775,36.20605,57.0417,10.125107,4602
222,2018-08-10,3,0,8,0,3,1,1,31.433347,34.24915,42.4167,13.417286,4780
223,2018-08-11,3,0,8,0,4,1,1,29.4175,32.57605,42.375,11.041332,4792
224,2018-08-12,3,0,8,0,5,1,1,29.041653,32.7021,41.5,8.416607,4905
225,2018-08-13,3,0,8,0,6,0,2,28.119153,32.2929,72.9583,14.167418,4150
226,2018-08-14,3,0,8,0,0,0,2,27.743347,31.2194,81.75,14.916411,3820
227,2018-08-15,3,0,8,0,1,1,1,27.299153,30.80835,71.2083,13.999918,4338
228,2018-08-16,3,0,8,0,2,1,1,28.734153,32.29185,57.8333,15.834043,4725
229,2018-08-17,3,0,8,0,3,1,1,29.656653,33.33355,57.5417,9.625689,4694
230,2018-08-18,3,0,8,0,4,1,1,29.178347,33.1129,65.4583,15.624936,3805
231,2018-08-19,3,0,8,0,5,1,2,28.085,31.66105,72.2917,9.333636,4153
232,2018-08-20,3,0,8,0,6,0,1,28.5975,32.4498,67.4167,6.999289,5191
233,2018-08-21,3,0,8,0,0,0,1,29.144153,33.77625,77.0,16.666518,3873
234,2018-08-22,3,0,8,0,1,1,1,28.358347,31.9127,47.0,18.54225,4758
235,2018-08-23,3,0,8,0,2,1,1,26.274153,30.30335,45.5417,9.833121,5895
236,2018-08-24,3,0,8,0,3,1,1,27.606653,31.5346,60.5,16.958236,5130
237,2018-08-25,3,0,8,0,4,1,2,28.050847,32.2927,77.1667,14.125811,3542
238,2018-08-26,3,0,8,0,5,1,1,28.7,32.98665,76.125,5.6254875,4661
239,2018-08-27,3,0,8,0,6,0,2,27.88,31.7778,85.0,25.166339,1115
240,2018-08-28,3,0,8,0,0,0,1,28.989419,32.39795,56.1765,20.412153,4334
241,2018-08-29,3,0,8,0,1,1,1,26.103347,30.3979,55.4583,10.708275,4634
242,2018-08-30,3,0,8,0,2,1,1,26.205847,29.7352,54.8333,8.375536,5204
243,2018-08-31,3,0,8,0,3,1,1,26.923347,30.55605,59.7917,5.5833311,5058
244,2018-09-01,3,0,9,0,4,1,1,26.855,30.74605,63.9167,9.500332,5115
245,2018-09-02,3,0,9,0,5,1,2,26.376653,30.2404,72.7083,9.375243,4727
246,2018-09-03,3,0,9,0,6,0,1,27.435847,31.66065,71.6667,12.416775,4484
247,2018-09-04,3,0,9,0,0,0,1,29.075847,33.27145,74.2083,13.833289,4940
248,2018-09-05,3,0,9,1,1,0,2,27.606653,31.2823,79.0417,14.250632,3351
249,2018-09-06,3,0,9,0,2,1,3,22.14,25.76,88.6957,23.044181,2710
250,2018-09-07,3,0,9,0,3,1,3,24.565847,27.21145,91.7083,6.5003936,1996
251,2018-09-08,3,0,9,0,4,1,3,25.990433,27.76805,93.9565,12.914116,1842
252,2018-09-09,3,0,9,0,5,1,2,26.65,28.9473,89.7917,8.333393,3544
253,2018-09-10,3,0,9,0,6,0,1,27.06,30.3981,75.375,10.291736,5345
254,2018-09-11,3,0,9,0,0,0,1,26.786653,30.46145,71.375,7.708618,5046
255,2018-09-12,3,0,9,0,1,1,1,26.418268,30.1065,69.2174,5.957171,4713
256,2018-09-13,3,0,9,0,2,1,1,26.684153,30.1777,71.25,9.500868,4763
257,2018-09-14,3,0,9,0,3,1,1,27.606653,31.345,69.7083,11.2091,4785
258,2018-09-15,3,0,9,0,4,1,2,23.6775,27.68355,70.9167,18.166782,3659
259,2018-09-16,3,0,9,0,5,1,2,19.235847,23.07375,59.0417,11.000261,4760
260,2018-09-17,3,0,9,0,6,0,2,20.158347,23.9256,71.8333,12.708225,4511
261,2018-09-18,3,0,9,0,0,0,1,20.8075,24.52685,69.5,11.958361,4274
262,2018-09-19,3,0,9,0,1,1,2,22.515847,26.48375,69.0,10.166714,4539
263,2018-09-20,3,0,9,0,2,1,2,23.028347,26.61085,88.125,9.041918,3641
264,2018-09-21,3,0,9,0,3,1,2,24.395,27.52665,90.0,6.4590814,4352
265,2018-09-22,3,0,9,0,4,1,2,25.761653,27.74815,90.2083,8.584375,4795
266,2018-09-23,4,0,9,0,5,1,2,24.975847,26.10625,97.25,5.2505689,2395
267,2018-09-24,4,0,9,0,6,0,2,24.873347,28.2206,86.25,5.2516811,5423
268,2018-09-25,4,0,9,0,0,0,2,26.000847,28.63185,84.5,3.3754064,5010
269,2018-09-26,4,0,9,0,1,1,2,26.615847,29.4521,84.8333,7.4169,4630
270,2018-09-27,4,0,9,0,2,1,2,26.103347,28.72625,88.5417,7.917457,4120
271,2018-09-28,4,0,9,0,3,1,2,26.035,28.7579,84.875,9.958143,3907
272,2018-09-29,4,0,9,0,4,1,1,25.283347,28.7256,69.9167,11.583161,4839
273,2018-09-30,4,0,9,0,5,1,1,23.130847,27.24145,64.75,13.833825,5202
274,2018-10-01,4,0,10,0,6,0,2,16.81,20.64315,75.375,19.583832,2429
275,2018-10-02,4,0,10,0,0,0,2,14.623347,17.26585,79.1667,14.874871,2918
276,2018-10-03,4,0,10,0,1,1,2,15.750847,19.6023,76.0833,5.5841686,3570
277,2018-10-04,4,0,10,0,2,1,1,19.850847,23.6429,71.0,13.792218,4456
278,2018-10-05,4,0,10,0,3,1,1,22.071653,26.3569,64.7917,11.87575,4826
279,2018-10-06,4,0,10,0,4,1,1,20.260847,24.02125,62.0833,9.041918,4765
280,2018-10-07,4,0,10,0,5,1,1,20.944153,25.2202,68.4167,1.5002439,4985
281,2018-10-08,4,0,10,0,6,0,1,21.388347,25.6621,70.125,3.0420814,5409
282,2018-10-09,4,0,10,0,0,0,1,22.174153,26.19915,72.75,4.25115,5511
283,2018-10-10,4,0,10,1,1,0,1,23.404153,27.14625,73.375,2.8343814,5117
284,2018-10-11,4,0,10,0,2,1,2,23.233347,27.3048,80.875,9.583814,4563
285,2018-10-12,4,0,10,0,3,1,3,22.276653,25.88585,90.625,16.62605,2416
286,2018-10-13,4,0,10,0,4,1,2,24.155847,27.5902,89.6667,9.499729,2913
287,2018-10-14,4,0,10,0,5,1,2,22.584153,26.48375,71.625,15.000161,3644
288,2018-10-15,4,0,10,0,6,0,1,20.773347,24.93625,48.3333,17.291561,5217
289,2018-10-16,4,0,10,0,0,0,1,20.978347,25.1577,48.6667,18.875039,5041
290,2018-10-17,4,0,10,0,1,1,1,21.900847,25.53625,57.9583,11.750393,4570
291,2018-10-18,4,0,10,0,2,1,2,21.8325,26.13605,70.1667,7.375829,4748
292,2018-10-19,4,0,10,0,3,1,3,22.211299,25.6924,89.5217,16.303713,2424
293,2018-10-20,4,0,10,0,4,1,1,19.509153,23.32625,63.625,28.292425,4195
294,2018-10-21,4,0,10,0,5,1,1,17.5275,21.1798,57.4167,14.833532,4304
295,2018-10-22,4,0,10,0,6,0,1,17.3225,21.2746,62.9167,6.2086689,4308
296,2018-10-23,4,0,10,0,0,0,1,17.288347,21.11665,74.125,6.6673375,4381
297,2018-10-24,4,0,10,0,1,1,1,18.996653,22.85335,77.2083,7.959064,4187
298,2018-10-25,4,0,10,0,2,1,1,19.338347,23.16875,62.2917,11.166086,4687
299,2018-10-26,4,0,10,0,3,1,2,19.850847,23.6423,72.0417,9.959014,3894
300,2018-10-27,4,0,10,0,4,1,2,19.27,22.8523,81.2917,13.250121,2659
301,2018-10-28,4,0,10,0,5,1,2,13.564153,15.9406,58.5833,15.375093,3747
302,2018-10-29,4,0,10,0,6,0,3,10.420847,11.39565,88.25,23.541857,627
303,2018-10-30,4,0,10,0,0,0,1,13.085847,16.06645,62.375,11.833339,3331
304,2018-10-31,4,0,10,0,1,1,1,13.94,17.80315,70.3333,7.12545,3669
