review_text,review_score
"I just found Monaco hard to enjoy. I was either rushing to reach a checkpoint before guards killed me or I was roaming aimlessly, being booted back to the beginning of the level when I died too many times. Monaco very rarely hits that stealthy sweet spot - that sense of quietly and carefully infiltrating enemy territory, knowing that you're vastly outnumbered and you'll be killed if you screw up. Instead, it usually just tests your patience.",5
"Beautiful, involving, impeccably designed and outstanding value, this is a grand game that is difficult to fault. It will captivate even those who have been immune to Final Fantasy's spell.",9
"It is a work of staggering genius, delicate like a snowflake, yet rugged like a prizefighter's face. SSX3 doesn't just demand your attention, but commands it, turning heads like a Hollywood celeb mozeying through Rochester Tesco's.",9
"While it's complexities edge a tad too close to convolution at times, 'Romance of the Three Kingdoms XIII' was a great time once I wrapped my head around it all. The steps towards accessibility, while far from perfect, definitely make this the most user-friendly entry in the series, and the amount of options available to players is hugely appreciated.",9
"All the visual improvement and added content can’t camouflage the handheld origins, which in return means that all the design and content shortcomings of the Vita version are still there.",7
"The gameplay isn't smart, the customizing RPG elements aren't very complex, and the story isn't presented with the kind of flair that Shirow Masamune's manga has inspired in film, on TV, or even in previous videogames.",7
"Despite the high overall level of polish, Assault Heroes 2 feels like an overlong expansion pack - and at $10, it's one that costs twice the price of the original. Good game? Yes, but a tough sell.",5
"Is Turok 2 better than Dinosaur Hunter? I don’t know if I’d call it better, but it’s certainly different. Personally, I prefer the original game but I appreciate how different this sequel is, even if I’m not a huge fan of every single point of divergence. Certainly, the level design leaves something to be desired, and while Turok wields a healthy armament by game’s end, there’s a cruel practicality to virtually every weapon. The Cerebral Bore is great, but it’s a one-enemy gun. Dinosaur Hunter had the Particle Accelerator and Fusion Cannon, both of which wiped out entire landscapes of enemies. This may be a consideration for Turok 2’s more closed, corridor-heavy environments, which is another thing I don’t love about it. However, the enemy designs and overall uniqueness of the environments really is special.",7
"The single-player missions don't take long to beat and the game's multiplayer lacks depth. Armored Core 4 should keep robot lovers busy, but it failed to improve nearly as much as expected.",7
"Concord may not be worth $40 to some, but that doesn’t mean there isn’t $40 worth of game here. With PlayStation levels of production value, and exceptional gameplay, fans of hero or team-based shooters should find Concord appealing – if they give it a chance.",5
"Sonic Rivals still stands head and shoulders over other recent efforts in the franchise - and, indeed, over many other recent PSP titles - simply because the game at the heart of it all is downright fun.",9
"Rock Band 3 is simply perfect. It's the final evolution of the music games, the perfect harmony between game and study, the perfect party experience and an awesome game. Everything is packed with love and attention, from the smaller thing to major features. If you love music and videogames, buy it and love it.",10
"Full Motion Video, the return of Joseph Kucan, the introduction of a third race to play, and the incredible competitive multiplayer package really shows just how much was spent to make this game the best production possible.",9
"Creating a superpower from Haiti isn’t an easy task but it sure was a fun run, I recommend SuperPower2 to people that like world simulations or to people that wish they could run any country on earth in anyway they see fit.",8
"A Total War Saga: Troy, the third game in the series, is the best in all aspects, not only in terms of graphics and technical execution, but also in gameplay and the challenges we encounter during the campaign.",10
"Yes, it's better than Final Fantasy XIII, but the legendary franchise needs more than that. Fans of FFXIII will probably be happy with this one, but older gamers will be disappointed.",7
"Life is Strange is not perfect, but it has a soul, and that's something quite rare those days. If you like this new Telltale-like adventure genre, Life is Strange is one of those games you don't want to miss.",8
"Fans of the new TV series and even older fans of the Teenage Mutant Ninja Turtles will enjoy this title, provided they can ignore the skateboarding and other driving sections of the game.",7
"From bedrooms containing clever and mysterious moving panels to a 'Land of the Giants'-style pool challenge, each section delivers something new and exciting to motivate deeper exploration. [Apr 2004, p.110]",8
"From bedrooms containing clever and mysterious moving panels to a 'Land of the Giants'-style pool challenge, each section delivers something new and exciting to motivate deeper exploration. [Apr 2004, p.110]",8
"When I was done, I was disappointed that I couldn't start it up all over again as like any adventure game, there's no real replayability here, but ultimately I was glad that I got to spend time with these characters and set up endings for them that allowed them to be as happy as they had made me.",6
"It both loves and hates the player, and this degree of love or hate depends on the type of player. Some could find its frustrations unforgiveable, while others will delight in its cornucopia of exploratory offerings.",6
"Joyful and strange, Wattam’s a hard game to explain, but not a difficult one to play. Once it wraps you in its welcoming arms you won’t want to let go. Until you end up kaboomed, that is. [Issue#171, p.90]",8
"The change of engine in Monster Energy Supercross 25 - The Official Video Game will bring, in the medium and long term, the necessary benefits to a franchise that was clearly stagnating. But the current version of the game still relies on its old qualities in gameplay, while suffering from the same limitations in both the visual presentation and the conservatism of the game modes.",6
"Anything that was good about Armies of Exigo is irreparably ruined by the woefully cliché story, simplicity, repetitive mission objectives and often dimwitted AI. I would have forgiven it all that, if only it hadn't been so boring.",3
"Great idea, poor execution. It's a common story, but this was supposed to be an uncommon game. Hopefully things will turn around should a sequel pan out, but the first Death's DOA.",4
"While I wanted a few more quality of life improvements and would've liked more visual improvements or consistency, what Monolith Soft have put out in Xenoblade Chronicles: Definitive Edition is nothing short of spectacular.",9
"All in all, Trek to Yomi is a pretty solid game if a little short. I won’t fault a game for being single-digit hours long, as long as it delivers a good story; Trek to Yomi certainly did. As mentioned prior, the additional story path options potentially take the game up to a good probably 10 hours, assuming all are approximately the same. The challenge offered by completing the game on higher difficulties can also invite a challenge to squeeze a few more hours out, and the combat is fun enough to welcome a playthrough just for difficulties sake.",8
"In truth Wolverine could have scored higher simply due to more time being allowed for bug testing, and possibly having no association with the terrible film. But that doesn’t prevent it from being a good solid, and ultimately, fun game.",7
"Puzzle Bobble Everybubble! is a good game, and it’s absolutely fine fare if you don’t already own a version of Taito’s venerable series. The new quirks don’t break anything fundamental, and that’s for the best in terms of maintaining series quality. At the same time, the new modes don’t add a lot.",7
"Harmonix Music VR is a half-hearted compilation of four tech demos that are interesting for less than a minute apiece. With so many other things to try on PSVR for a similar price, you’ll feel short-changed if you waste your money on this.",3
"Digital distribution may never replace retail sales, and episodic content may never become the standard for all games, but the future of both is startlingly bright. Sin Episodes is among the first to fling itself into that future. Though common in its gameplay, it is also enjoyable: had it been ten bucks instead of twenty, I'd be raving.",8
"My experience with Age of Mythology was one of apathy and boredom... Think of AoM as Led Zeppelin&#146;s ""Stairway to Heaven."" Sure, it&#146;s a great song, but do you really want to hear it over and over again?",5
"The limited playing areas and the auto targeting do detract from the gameplay, but hours could be spent simply customising your mech, let alone unlocking all of the machines that the game holds!",7
"The trouble is doing any sort of action requires using 3 or 4 menus, which is okay in itself, but in InuYasha: The Secret of the Cursed Mask, each menu takes twice as long as it needs to, dragging the battles horridly. Combined with a fairly high encounter rate, it seems to take forever to accomplish anything.",4
"Online play means that even solo players are able to go up against real opponents, but there aren't enough great mini-games in the collection to warrant more than one or two plays through what is on offer.",5
"The game seems to lack an overall level of polish, as you'll see some questionable AI and some occasional bouts of slowdown in the PS2 version of the game. Still, the gameplay itself is rock-solid.",7
"If I could give Beyond Eyes more stars, I would. Rarely does a character emotion become so pronounced in my own being. When Rae was delighted, I’d laugh with excitement. When Rae was scared, I cowered alongside her. When Rae was upset I was quite literally found sobbing in the fetal position until the wave of emotion passed.",9
"To date, there aren’t a whole lot of games like Monaco. There’s action oriented isometrics like Trap Gunner and strategy heavy games like Frozen Synapse, but Monaco succeeds in blending the two playstyles together effortlessly. Even if you aren’t the type who plays nice with others, Monaco offers more than enough content to help you channel your inner thief.",8
"An epic RPG quest that rewards patience. It's slow-paced, but once you're strong enough to tackle the bigger monsters it really shines. Just don't expect anything ground-breaking. [June 2006, p.81]",8
"The only other problem I found with the game was the challenge that the in-game camera presents. Often, you will find yourself using the camera buttons a lot to move the camera so you can see everything in the environment.",6
"Nebuchadnezzar is not as great as Pharaoh, the legendary city builder in whose footsteps it follows. However, it’s an interesting game that will satisfy your desire to build ancient cities, even if it relies too much on burdensome micromanagement. [05/2021, p.40]",6
"It's not a bad game, but casual gamers, and possibly hardcore-traditional-football fans, may get bored of pulling tricks rather than pulling skilled corners back on the real pitch.",6
"The pacing is bad, the activities are boring, the Vision Camera is an annoyance and handcuffs the entire experience, and the payoff for all of your hardships isn’t fulfilling in the slightest.",3
"Dead or School often intrigues in appearance, but never quite capitalises on the unique blend of the mundane. Technical issues bog down the core experience, and the lack of restriction or respect for the rest of the content sours what could have been a thoroughly enjoyable romp through the underground.",4
The grid-less combat can be annoying to get used to—especially when learning how to properly position characters—but there’s enough small changes to put a good spin on otherwise stale tactical combat.,7
"They really don't make games like Hell Yeah anymore. It's one of the most random and oddball games I've played. It's one of those games where a bunch of wildly creative developers got together, had a bunch of fun, and made a game without ever asking ""why?""",8
"The Stronghold series isn't like Total War, doing a hundred different things; it just needs to get the castles and combat right. On the evidence of Stronghold Crusader 2, Firefly is moving in the right direction, but it still has a way to go.",7
"NBA 2K23 is the Michael Jordan of the basketball games. Stunning visuals, improved gameplay and the additions of Eras to the MyNBA mode and the Jordan Challenges make it a must-have for basketball fans. The only issue with NBA 2K23 is an old one: microtransactions. But, if you're a 2K fan, you already know that.",9
"If, like a zombie on Banoi, you've been absolutely starved for fresh meat, then Riptide might be for you. In my case, it left me with a familiar heartburn and a bad taste in my gullet.",4
"Sin Episodes: Emergence feels and plays like theater food. It’s a quick rush once you chow down, but as soon as the sugar starts digesting you start noticing things you’ve seen before.",6
"With nothing in common with the original, Yars' Revenge is a terrible bad incarnation of the original classic. Hopefully Atari will learn from this mistake and do something better the next time they decide to to a HD remake of one of their classics.",3
"A triumph of raw substance over style, Legends of Eisenwald constantly wins over the heart of the RPG connoisseur despite its incompleteness thanks to its deep battle system and well crafted adventures. A great game for strategy experts.",9
"Visually the game is absolutely stunning, with in-game character models that are at least three times as detailed as those seen in the first game. Level design is artistic as it is functional. [Nov 2003, p.32]",9
"Knowledge is Power is an entertaining quiz game, and based on my multiple playthroughs I’m yet to hit a question for the second time. It's Mario Kart-style item system ensures that most games are close, no matter the quiz knowledge. At the same time, the questions themselves are entertaining and varied enough that this one comes highly recommended for trivia heads.",8
"And so rather than allowing you to feel like an armoured avenger, Iron Man's videogame outing merely offers the chance to lurch awkwardly around the sky like a drunken wasp while holding down a button to blow stuff up.",3
"My experience with Arma III contained equal doses of pleasant surprise, delight, feeling of emptiness after finishing single player missions, and longing for more. If you’re mainly interested in the single player campaign, I advise you to wait at least for the first DLC before buying this game. [CD-Action 11/2013, p.58]",6
"Hellboy may look better than ever clutching his Samaritan revolver, but Aussie developer Krome Studios’ riff on Mike Mignola’s comic series about a crime-sleuthing demon with a wrecking ball for a right hook feels like a couple of strung-together demo levels instead of a cohesive videogame.",4
"High Hell will easily speak to every fan of the old-school FPS of the 90's. Thanks to its absurd design, Devolver's new game tastes like a nice trip of acid. The only downside to the formula is indubitably its short length, but we will gladly take those two hours of pure fun.",8
"If you’re wanting to pick up an accessible space shooter that you can casually play but has a great deal of depth, Everspace comes more than highly recommended. It’s a game that will have you hooked no matter your skill level.",8
"I can honestly say that I have a little more respect for the people who do this kind of thing everyday after playing Emergency Fire Response, and great job to Dreamcatcher in making a fun RTS game that captures excitement and enjoyment based on real life people.",8
"There is a lot to love about Dead Rising 3’s latest DLC. For $10 it is impossible not to recommend to Xbox One owners who still have the game, especially those with a fondness for classic Capcom titles.",8
"When all is said and done, Hellboy: The Science of Evil might have been a hit during the last generation of consoles. On the current consoles, though, it just falls short in nearly every regard.",4
"Ultimately, 2.8 Final Chapter Prologue has one purpose – to pave the way for Kingdom Hearts 3 – and it pulls it off incredibly well. Dream Drop Distance HD has a great story and some really cool mechanical ideas, but is let down somewhat by the limitations of the 3DS hardware it was adapted from. But 0.2 Birth by Sleep A Fragmentary Passage is just stellar. It gives the perfect taster of what to expect in Kingdom Hearts 3, while also being its own awesomely designed short-form experience. If we discount its smaller scale, 0.2 is probably one of the best instalments of the series we’ve ever had.",9
"Even with all that fanboyism, I came into this game with optimism tempered by mediocre expectations. It failed to meet even them. The game is just plain bad. It feels underdeveloped, hacked together and downright shoddy.",2
"And holy cow, if it's sheer bat-guano crazy you're after, you'll love Versus mode. Pick from 45 (!) unlockable characters and square off against 11 other nutjobs (humans or bots) in completely ridiculous battle royales over Live. We'd happily pay 10 bucks just to listen to the chaos in each wild melee.",8
"To be sure, you could critique Biomotor Unitron for not straying too far from its inspiration – and even if it borrows from Pokémon, it never comes close to matching it. But just as the ‘90s had room for second-tier competitors like Digimon, there’s no reason why Biomotor Unitron can’t exist as a fun curio today. It won’t make anyone forget Pokémon or wonder why Biomotor Unitron didn’t find more of a fanbase, but it’s fun enough that you’ll be able to enjoy it anyway.",6
"From its flawless control and presentation, to its huge amount of variety and online modes, MCII is one of the most fun and complete racing games we've ever played. [June 2003, p.24]",9
"Though playing through the main story doesn't take nearly as long as I'd like, level replays plus a two-player sabotage mode (two DS cards needed) lengthen gameplay. [Dec 2005, p.122]",6
"Superhot’s standalone expansion Mind Control Delete is a great example of how to achieve growth, drive your franchise forward and prevent an admittedly pretty basic concept from going stale. Before I knew I was ready for a change, Superhot Team thrust age-old video game tropes into gaming’s most unique shooter in ways only they could and, in a crazy twist, it works.",8
"Of all of the Vita launch titles I have been fortunate enough to play, this is honestly the easiest one to recommend. Accessible, fun, addictive, and offering lots of content, Lumines: Electronic Symphony is a superb launch title.",9
"If 400 puzzles sounds like more Sudoku than you could ever want, much less need, I highly recommend Nintendo's own ""Brain Age"" as a superior alternative. It includes only 100 puzzles, but the interface is significantly better, and you get all the Brain Age stuff in addition to Sudoku, which is really just a side offering in that game.",7
This is it. The final compilation of the enormous storytelling universe that is Kingdom Hearts. And it delivers. Especially in terms of filling some gaps in the early story while convincingly bridging games from Birth by Sleep up to Dream Drop Distance while preparing for Kingdom Hearts 3.,5
"Enjoying Hotline Miami doesn't make you a worse person, though you may find yourself wrestling with just why the act of deftly delivered murder is so damn much fun. It is because it's a lovingly crafted game, well-designed and deeply addictive.",9
"It’s easy to see why this is a cult classic. BIOMOTOR UNITRON is a retro RPG done right. While it can be something of a grind, it offers more depth than you might think. And considering an original NGPC cart commands triple-digit pricing, this eShop release is a steal at only $7.99. So, if you’re a fan of dungeon crawlers, this sci-fi take shouldn’t be missed.",9
"If you can get past Iron Man’s head-scratching learning curve, what are you left with? A game that’s far from perfect, but still better than a lot of movie and comic book tie-ins that have come before ( *wink* Catwoman).",8
"Offering slick, fast-paced gameplay, white-knuckle multiplayer, a lengthy single-player experience, and more B-movie cheese than a plate of microwave nachos, there’s a lot to like about Command & Conquer 3.",9
"I came into Lushfoil Photography Sim expecting to love it, and maybe that was a mistake. I do like it. I plan on returning to it for little escapes sometimes (emphasis on little). There is just something I love about taking a view that countless others have seen and putting your own twist on it; as it turns out, that feeling can also exist thanks to video games. Unfortunately, the camera controls never became intuitive, and accessibility around motion sickness is lacking. Lushfoil Photography Sim has a solid base, but I could never recommend it to someone without also pointing out the heavy negatives.",7
"I fear my childhood has prevented me from giving Nebuchadnezzar a fair chance. It was never going to meet my expectations because I was holding it up to a level of quality that few have been able to match in the past 20 years. This isn't a bad game; it just not one that you'll remember in a year, forget a decade. So instead of recommending this, I recommend you instead spend half as much and buy Pharoah instead.",8
"The Steam blurb for Oil Rush says it ""combines strategic challenge of classic RTS with sheer fun of Tower Defense."" But as far as I can tell there's nothing more Tower Defenseish about Oil Rush than any other RTS in which you build defensive towers -- which is pretty much all of them. I'm not sure Unigine knows what Tower Defense is.",6
"Astroy Boy assaults you with old-school charm. Factor in snazzy visuals, tight controls, and demanding difficulty, and you get a solid purchase...and one that's not just for kids. [Sept 2004, p.110]",6
"Every remark, battle cry and slash looks, sounds, and feels authentic to these characters, especially Wolverine and Sabertooth. This game will definitely put you in the spandex of your favorite spandex slasher, which by the way is not the manliest of looks.",7
Dead Cells takes some of the very best ideas from Rouge-lite and Metroidvania titles to make an action packed platformer that smartly allows the player to unravel the game's secrets.,7
"They say time heals all wounds, but free DLC can't hurt either. Dead Kings offers much for those still enamoured by the series, and its offering as a freebie is a fine gesture to anyone left aggrieved by last year's failings.",8
"Doesn't save the series, but doesn't condemn it further. Great with a co-op buddy, or if you like the score attacks. Only passable as a solo, narrative-driven experience. [May 2015, p72]",7
"Atari Flashback Classics is a decent release. Despite some small issues, it is a great way to experience the early days of video gaming. Some games may not appeal to you, while others will bring back great memories. I would have liked better emulation in some areas, and more licensed games but what we get for the price isn’t too bad at all. If you’re a fan of classic Atari, or just want to see where gaming basically began, they you should definitely check this collection out. It’s certainly not the best it could have been, but definitely not the worst classic game collection available. As a huge Atari fan, I would say it’s worth your time.",7
"Unfortunately, the end result is a game that falls somewhere in between the two extremes, and will likely satisfy neither the main-stream gamer they were trying to court, nor the hardcore strategy fan they had in their back-pocket.",5
"The campaign is quite lengthy, there is a ton of story to read through, and there’s even essentially choose-your-own-adventure stories inside other characters’ minds. However, the story is very quirky, and although developer Gust attempted to go deeper in characterization, a lot of the drama that unfolds feels at about the high school level.",6
"Capcom has come to PSVita UMVC3 well. The game is almost as large and deep as the major versions, and just as fun. Sony's new console comes with a good fighting game with this crossover.",8
"As great as the campaign is, the game will see its longest legs from multiplayer. And from the multitude of competitive match types to the addictive and strategic co-op Horde mode, what felt like a hugely entertaining afterthought in the original Gears now easily stands shoulder-to-shoulder with the campaign.",9
"While I eventually enjoyed Aporia: Beyond the Valley, the moments where bugs and glitches appeared took me right out of the experience. It’s a shame too, as the story is well told despite uttering no words at all, the premise is genuinely interesting, and the puzzles – when they work as intended – are a joy to solve. It’s certainly one to wait on for now while they tidy up all the bugs and glitches.",6
"In all honesty, the simplification of the controls and hit-miss nature of the superstar mode mean that Sega Superstar Tennis isn’t quite as good as the tennis masterclass that was ""Virtua Tennis 3.""",4
Its gameplay consists of bland beat-em-up action and imprecise gun control. The in-game visuals vary between good (up close) and bad (zoomed out) and the co-op options are limited and confusing.,3
"If you absolutely must have a Sudoku game for your Nintendo DS, I'd recommend buying a copy of ""Brain Age,"" even if it only contains one hundred puzzles. Sudoku Gridmaster is a decent game, but its problems outweigh any positives it offers.",4
"Ronin has little plot to speak of, but is focused like it’s own motorcycle helmeted avenger on a tight and tactical turn-ish-based combat mechanic. Looks a little like Gunpoint. Plays like Ronin.",6
Marlow Briggs and the Mask of the Death is an honest hack'n slash game with varied action and nice combat system. What it lacks in style and in the technical department is fully compensated for by the overall quality of the action.,7
"I literally fell asleep 15 minutes into my first ""exciting"" mission of taking pictures of fish, so that should tell you something. But stick with it, and you may find yourself inexplicably drawn in. [Mar 2003, p.116]",5
"It's a shame that such a much-loved series has come to this, but here we are. So to conclude, SingStar Ultimate Party gets one point for nice menu screens and one point for Carly Rae Jepsen.",2
"With spectacular action, great controls and a lot of emphasis on the story, Manticore: Galaxy on Fire is the best option for those who are looking to bring space battles anywhere on the Nintendo Switch.",8
"All the same, this is by far the best of the franchise so far and if you’ve ever considered giving one of the Sherlock Holmes games a go there’s been no better option to start with.",8
"Filthy Lucre strives to be a game of interesting choices between caution and gung-ho action. Unfortunately, the lack of challenge and inept AI mean that neither style of play is satisfying.",3
"It's an example of master storytellers at the height of their powers, and despite the shadow of its illustrious heritage, Final Fantasy XII is by far and away the best game in the series yet.",10
"If you've got a fondness for Hasbro's brand, High Moon Studios does not disappoint. If you played with a Transformer as a child and haven't revisited your inner 8-year-old in a few years, Fall of Cybertron will more than suffice. The latest title in the franchise won't disappoint and will provide plenty of childish, stupid fun, but it's not about to set the robotic world on fire.",7
"It's fair to say that most people over the age of about eight will find it ridiculously easy and childlike and it features some typically Manga quirks and moral dubiousness (indeed, one of the themes of the original U.S. series was vivisection!) but as a piece of history and heartwarming my-first action title, it's pleasing in almost every facet.",6
"I'm totally for the idea of a nonviolent FPS, but this one just doesn't work on any level. It's like ""Catechumen's"" long lost pagan brother. It doesn't even make a good game for your kid brother or son who's hopped up on Atlantis fever. This is one empire that deserves to stay lost.",2
"Gears of War 2 does everything you wanted the original to do and then some. I have never been so hooked on a game. I couldn't put it away until I beat it. I just couldn't get enough of the intense action, the beautiful visuals and I especially couldn't get enough of the story.",10
"All you need to know is that if it was a poker hand, Forza would be a royal flush. If a football score, it would be a 7-0 win. As a game, it is the finest straight-up racing game to grace any home console system and as such, is an absolute must buy.",10
"It's action-packed gameplay; attractive, colorful visuals; and star-studded videos are sure to draw in both hardcore fans of the series and large numbers of new players. [Apr 2007, p.20]",8
"An intriguing set but one that is downplayed significantly due to the controls. Your tolerance may vary though, so it's not a bad idea to rent this one to get the full experience for yourself before buying.",5
"Mario and Donkey Kong: Minis on the Move provides a ton of variety and a consistent level of challenge. It's a simple, accessible and entertaining puzzle game that combines Nintendo craftsmanship with a competitive price tag.",7
"Overall, however, we can only be satisfied with the outcome of the nostalgia operation implemented by Blizzard, which will once again trap fans in an endless cycle of fights to the death and unbridled looting.",9
"Arkham Knight triumphs as a richly empowering comic book fantasy that sees its hero fail almost as much as he succeeds, making him the most believable, the most occasionally unlikeable, and ultimately the most heroic he’s ever been.",10
"Switch owners may be more comfortable with playing older games than Nintendo’s less portable cousins, but even this feels a bit too short-lived and dated to satisfy our Capcom cravings, especially when there are more exciting oldies to come to Switch, from Resident Evil 4 to the recently announced Dragon’s Dogma: Dark Arisen.",5
"Neon White is as addictive as it is challenging, with plenty of replayability and varied gameplay, looking gorgeous at every step. It's a magnificent take on the FPS-genre, building complex and thrilling levels where simply pulling the trigger isn't enough.",9
"I can’t praise Valkyria Revolution‘s story enough. It’s a clear-eyed meditation on the horrors of war – even, perhaps especially, justified war. If the developers had found a way to make the dreary, repetitive combat as worthwhile as the story that frames it, this would have been an incredible game.",8
"OutRun is just as much fun as it was when released more than two decades ago, though the gameplay fundamentals haven't changed much and the series is still in need of a bonafide relaunch. That said, I still love OutRun. I'll never get sick of Heart Attack mode.",7
"While fans of turn-based strategy might find some features to be enjoyable, long-time players of the Jagged Alliance series and strategy connoisseurs might feel shortchanged of the beloved gameplay of this genre.",5
"Metal Gear Rising: Revengeance is an ambitious title and Platinum Games delivers! The resulting game is pure hack & slash, filled with interesting features like the Blade mode and the Jack the Ripper mode, that manage to make the game feel fresh and, at times, even unique. It's a joy from beginning to end and even though Revengeance isn't a long game by any stretch of the word, you won't regret spending any of your hard-earned money on it.",9
"The variety of maps, tasks and challenges is one of the strong suits of Part Time UFO. Even though the gameplay mechanics are pretty simple, clever puzzle design keeps the player entertained for many hours. [Issue#251, p.71]",8
"Most of these games translate well to the Switch, the improved graphics exploding with color. Playing in 4:3 suits some games better than others, so it’s not a perfect fit. The JoyCons are a great control tool, even if a few games struggle (I’m looking at you Sky Kid, you menace) on the Switch. This was a fun little jaunt down memory lane, but it’s really nothing more than another Namco collection in new digs.",7
